#AgreementMakerLight Alignment File
#Source ontology:	http://purl.obolibrary.org/obo/hp.owl
#First Target ontology:	http://purl.obolibrary.org/obo/fma.owl
#Second Target ontology:	http://purl.obolibrary.org/obo/pato.owl
Source URI	Source Label	Target 1 URI	Target 1 Label	Target 2 URI	Target 2Label	Similarity	Relationship
http://purl.obolibrary.org/obo/HP_0001551	abnormality of the umbilicus	http://purl.obolibrary.org/obo/FMA_61584	umbilicus	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/HP_0009777	absent thumb	http://purl.obolibrary.org/obo/FMA_24938	thumb	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/HP_0004332	abnormality of lymphocytes	http://purl.obolibrary.org/obo/FMA_62863	lymphocyte	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/HP_0011220	prominent forehead	http://purl.obolibrary.org/obo/FMA_63864	forehead	http://purl.obolibrary.org/obo/PATO_0001482	prominent	0.9801	=
http://purl.obolibrary.org/obo/HP_0008988	pelvic girdle muscle atrophy	http://purl.obolibrary.org/obo/FMA_37367	muscle of pelvic girdle	http://purl.obolibrary.org/obo/PATO_0001623	atrophied	0.9801	=
http://purl.obolibrary.org/obo/HP_0003272	abnormality of the hip bone	http://purl.obolibrary.org/obo/FMA_16585	hip bone	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/HP_0030154	gallbladder perforation	http://purl.obolibrary.org/obo/FMA_7202	gallbladder	http://purl.obolibrary.org/obo/PATO_0002112	perforate	0.9801	=
http://purl.obolibrary.org/obo/HP_0010950	abnormality of the fourth ventricle	http://purl.obolibrary.org/obo/FMA_78469	fourth ventricle	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/HP_0012575	abnormality of the nephron	http://purl.obolibrary.org/obo/FMA_17640	nephron	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/HP_0040062	slender radius	http://purl.obolibrary.org/obo/FMA_23463	radius	http://purl.obolibrary.org/obo/PATO_0002212	slender	0.9801	=
