#AgreementMakerLight Alignment File
#Source ontology:	http://purl.obolibrary.org/obo/mp.owl
#First Target ontology:	http://purl.obolibrary.org/obo/cl.owl
#Second Target ontology:	http://purl.obolibrary.org/obo/pato.owl
Source URI	Source Label	Target 1 URI	Target 1 Label	Target 2 URI	Target 2Label	Similarity	Relationship
http://purl.obolibrary.org/obo/MP_0008339	absent thyrotrophs	http://purl.obolibrary.org/obo/CL_0000476	thyrotroph	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0011695	absent hematopoietic stem cells	http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0008444	retinal cone cell degeneration	http://purl.obolibrary.org/obo/CL_0000573	retinal cone cell	http://purl.obolibrary.org/obo/PATO_0002037	degeneration	0.9801	=
http://purl.obolibrary.org/obo/MP_0005020	abnormal late pro b cell	http://purl.obolibrary.org/obo/CL_0002048	late pro b cell	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0009958	absent cerebellar granule cells	http://purl.obolibrary.org/obo/CL_0001031	cerebellar granule cell	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0003714	absent platelets	http://purl.obolibrary.org/obo/CL_0000233	platelet	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0010199	absent lymphatic vessel endothelial cells	http://purl.obolibrary.org/obo/CL_0002138	endothelial cell of lymphatic vessel	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0000389	disorganized outer root sheath cells	http://purl.obolibrary.org/obo/CL_0002561	outer root sheath cell	http://purl.obolibrary.org/obo/PATO_0000937	disorganized	0.9801	=
http://purl.obolibrary.org/obo/MP_0004805	absent oocytes	http://purl.obolibrary.org/obo/CL_0000023	oocyte	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0000387	disorganized inner root sheath cells	http://purl.obolibrary.org/obo/CL_0002560	inner root sheath cell	http://purl.obolibrary.org/obo/PATO_0000937	disorganized	0.9801	=
http://purl.obolibrary.org/obo/MP_0004398	cochlear inner hair cell degeneration	http://purl.obolibrary.org/obo/CL_0000589	cochlear inner hair cell	http://purl.obolibrary.org/obo/PATO_0002037	degeneration	0.9801	=
http://purl.obolibrary.org/obo/MP_0005019	abnormal early pro b cell	http://purl.obolibrary.org/obo/CL_0002046	early pro b cell	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0020156	multinucleated pancreatic acinar cells	http://purl.obolibrary.org/obo/CL_0002064	pancreatic acinar cell	http://purl.obolibrary.org/obo/PATO_0001908	multinucleate	0.9801	=
http://purl.obolibrary.org/obo/MP_0009402	decreased skeletal muscle fiber diameter	http://purl.obolibrary.org/obo/CL_0008002	skeletal muscle fiber	http://purl.obolibrary.org/obo/PATO_0001715	decreased diameter	0.9801	=
http://purl.obolibrary.org/obo/MP_0004312	absent pillar cells	http://purl.obolibrary.org/obo/CL_1000191	pillar cell	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0001048	absent enteric neurons	http://purl.obolibrary.org/obo/CL_0007011	enteric neuron	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0001117	absent gametes	http://purl.obolibrary.org/obo/CL_0000300	gamete	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0011429	absent mesangial cell	http://purl.obolibrary.org/obo/CL_0000650	mesangial cell	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0004325	absent vestibular hair cells	http://purl.obolibrary.org/obo/CL_0000609	vestibular hair cell	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0009403	increased variability of skeletal muscle fiber size	http://purl.obolibrary.org/obo/CL_0008002	skeletal muscle fiber	http://purl.obolibrary.org/obo/PATO_0001958	increased variability of size	0.9801	=
