#AgreementMakerLight Alignment File
#Source ontology:	http://purl.obolibrary.org/obo/mp.owl
#First Target ontology:	http://purl.obolibrary.org/obo/go.owl
#Second Target ontology:	http://purl.obolibrary.org/obo/pato.owl
Source URI	Source Label	Target 1 URI	Target 1 Label	Target 2 URI	Target 2Label	Similarity	Relationship
http://purl.obolibrary.org/obo/MP_0008566	increased interferon gamma secretion	http://purl.obolibrary.org/obo/GO_0072643	interferon gamma secretion	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/MP_0000269	abnormal heart looping	http://purl.obolibrary.org/obo/GO_0001947	heart looping	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0008660	increased interleukin 10 secretion	http://purl.obolibrary.org/obo/GO_0072608	interleukin 10 secretion	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/MP_0004172	abnormal subpallium development	http://purl.obolibrary.org/obo/GO_0021544	subpallium development	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0011932	abnormal endocrine pancreas development	http://purl.obolibrary.org/obo/GO_0031018	endocrine pancreas development	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0013756	increased intestinal phytosterol absorption	http://purl.obolibrary.org/obo/GO_0060752	intestinal phytosterol absorption	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/MP_0008653	abnormal interleukin 1 alpha secretion	http://purl.obolibrary.org/obo/GO_0050703	interleukin 1 alpha secretion	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0005448	abnormal energy homeostasis	http://purl.obolibrary.org/obo/GO_0097009	energy homeostasis	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0003816	abnormal pituitary gland development	http://purl.obolibrary.org/obo/GO_0021983	pituitary gland development	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0009606	increased keratohyalin granule size	http://purl.obolibrary.org/obo/GO_0036457	keratohyalin granule	http://purl.obolibrary.org/obo/PATO_0000586	increased size	0.9801	=
http://purl.obolibrary.org/obo/MP_0001176	abnormal lung development	http://purl.obolibrary.org/obo/GO_0030324	lung development	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0004036	abnormal muscle relaxation	http://purl.obolibrary.org/obo/GO_0090075	relaxation of muscle	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0010959	abnormal oxidative phosphorylation	http://purl.obolibrary.org/obo/GO_0006119	oxidative phosphorylation	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0013318	abnormal branching involved in seminal vesicle morphogenesis	http://purl.obolibrary.org/obo/GO_0061683	branching involved in seminal vesicle morphogenesis	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0011711	impaired osteoblast differentiation	http://purl.obolibrary.org/obo/GO_0001649	osteoblast differentiation	http://purl.obolibrary.org/obo/PATO_0000762	impaired	0.9801	=
http://purl.obolibrary.org/obo/MP_0011977	abnormal sodium ion homeostasis	http://purl.obolibrary.org/obo/GO_0055078	sodium ion homeostasis	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0002551	abnormal blood coagulation	http://purl.obolibrary.org/obo/GO_0007596	blood coagulation	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0020315	increased palmitoyl (protein) hydrolase activity	http://purl.obolibrary.org/obo/GO_0098599	palmitoyl hydrolase activity	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/MP_0003704	abnormal hair follicle development	http://purl.obolibrary.org/obo/GO_0001942	hair follicle development	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0011602	increased glutathione peroxidase activity	http://purl.obolibrary.org/obo/GO_0004602	glutathione peroxidase activity	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/MP_0013337	abnormal adenohypophysis development	http://purl.obolibrary.org/obo/GO_0021984	adenohypophysis development	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0011717	increased interleukin 8 secretion	http://purl.obolibrary.org/obo/GO_0072606	interleukin 8 secretion	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/MP_0004089	dilated sarcoplasmic reticulum	http://purl.obolibrary.org/obo/GO_0016529	sarcoplasmic reticulum	http://purl.obolibrary.org/obo/PATO_0001571	dilated	0.9801	=
http://purl.obolibrary.org/obo/MP_0009241	thick sperm flagellum	http://purl.obolibrary.org/obo/GO_0036126	sperm flagellum	http://purl.obolibrary.org/obo/PATO_0000915	thickness	0.9801	=
http://purl.obolibrary.org/obo/MP_0001846	increased inflammatory response	http://purl.obolibrary.org/obo/GO_0006954	inflammatory response	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
