#AgreementMakerLight Alignment File
#Source ontology:	http://purl.obolibrary.org/obo/mp.owl
#First Target ontology:	http://purl.obolibrary.org/obo/nbo.owl
#Second Target ontology:	http://purl.obolibrary.org/obo/pato.owl
Source URI	Source Label	Target 1 URI	Target 1 Label	Target 2 URI	Target 2Label	Similarity	Relationship
http://purl.obolibrary.org/obo/MP_0006358	absent pinna reflex	http://purl.obolibrary.org/obo/NBO_0000576	pinna reflex	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0011396	abnormal sleep behavior	http://purl.obolibrary.org/obo/NBO_0000024	sleeping behavior	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0009697	abnormal copulation	http://purl.obolibrary.org/obo/NBO_0000060	copulation	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0001360	abnormal social investigation	http://purl.obolibrary.org/obo/NBO_0000148	social investigation	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0009731	abnormal offspring retrieval	http://purl.obolibrary.org/obo/NBO_0000155	offspring retrieval	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0009456	impaired cued conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000224	cued conditioning behavior	http://purl.obolibrary.org/obo/PATO_0000762	impaired	0.9801	=
http://purl.obolibrary.org/obo/MP_0009757	impaired behavioral response to morphine	http://purl.obolibrary.org/obo/NBO_0002021	behavioral response to morphine	http://purl.obolibrary.org/obo/PATO_0000762	impaired	0.9801	=
http://purl.obolibrary.org/obo/MP_0001463	abnormal spatial learning	http://purl.obolibrary.org/obo/NBO_0000175	spatial learning	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0001486	abnormal startle reflex	http://purl.obolibrary.org/obo/NBO_0000391	startle reflex	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
http://purl.obolibrary.org/obo/MP_0012307	impaired spatial learning	http://purl.obolibrary.org/obo/NBO_0000175	spatial learning	http://purl.obolibrary.org/obo/PATO_0000762	impaired	0.9801	=
http://purl.obolibrary.org/obo/MP_0009753	enhanced behavioral response to morphine	http://purl.obolibrary.org/obo/NBO_0002021	behavioral response to morphine	http://purl.obolibrary.org/obo/PATO_0001589	enhanced	0.9801	=
http://purl.obolibrary.org/obo/MP_0002806	abnormal conditioned emotional response	http://purl.obolibrary.org/obo/NBO_0000221	conditioned emotional response	http://purl.obolibrary.org/obo/PATO_0000460	abnormal	0.9801	=
