#AgreementMakerLight Alignment File
#Source ontology:	http://purl.obolibrary.org/obo/mp.owl
#First Target ontology:	http://purl.obolibrary.org/obo/uberon/ext.owl
#Second Target ontology:	http://purl.obolibrary.org/obo/pato.owl
Source URI	Source Label	Target 1 URI	Target 1 Label	Target 2 URI	Target 2Label	Similarity	Relationship
http://purl.obolibrary.org/obo/MP_0010586	absent conotruncal ridges	http://purl.obolibrary.org/obo/UBERON_0005967	conotruncal ridge	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0006101	absent tegmentum	http://purl.obolibrary.org/obo/UBERON_0024151	tegmentum	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0009283	decreased gonadal fat pad weight	http://purl.obolibrary.org/obo/UBERON_0003428	gonadal fat pad	http://purl.obolibrary.org/obo/PATO_0000583	decreased weight	0.9801	=
http://purl.obolibrary.org/obo/MP_0013545	cleft hard palate	http://purl.obolibrary.org/obo/UBERON_0003216	hard palate	http://purl.obolibrary.org/obo/PATO_0000403	cleft	0.9801	=
http://purl.obolibrary.org/obo/MP_0005170	cleft upper lip	http://purl.obolibrary.org/obo/UBERON_0001834	upper lip	http://purl.obolibrary.org/obo/PATO_0000403	cleft	0.9801	=
http://purl.obolibrary.org/obo/MP_0009210	absent internal female genitalia	http://purl.obolibrary.org/obo/UBERON_0003975	internal female genitalia	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0010561	absent coronary vessels	http://purl.obolibrary.org/obo/UBERON_0005985	coronary vessel	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0000533	kidney hemorrhage	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	http://purl.obolibrary.org/obo/PATO_0002105	hemorrhagic	0.9801	=
http://purl.obolibrary.org/obo/MP_0012813	decreased rhombomere 8 size	http://purl.obolibrary.org/obo/UBERON_0005527	rhombomere 8	http://purl.obolibrary.org/obo/PATO_0000587	decreased size	0.9801	=
http://purl.obolibrary.org/obo/MP_0012789	decreased rhombomere 2 size	http://purl.obolibrary.org/obo/UBERON_0005569	rhombomere 2	http://purl.obolibrary.org/obo/PATO_0000587	decreased size	0.9801	=
http://purl.obolibrary.org/obo/MP_0020209	low withers	http://purl.obolibrary.org/obo/UBERON_0017749	withers	http://purl.obolibrary.org/obo/PATO_0000471	low	0.9801	=
http://purl.obolibrary.org/obo/MP_0000962	disorganized dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion	http://purl.obolibrary.org/obo/PATO_0000937	disorganized	0.9801	=
http://purl.obolibrary.org/obo/MP_0000655	dilated sex gland	http://purl.obolibrary.org/obo/UBERON_0003937	sex gland	http://purl.obolibrary.org/obo/PATO_0001571	dilated	0.9801	=
http://purl.obolibrary.org/obo/MP_0012285	misaligned sternebrae	http://purl.obolibrary.org/obo/UBERON_0002208	sternebra	http://purl.obolibrary.org/obo/PATO_0001654	misaligned with	0.9801	=
http://purl.obolibrary.org/obo/MP_0010563	increased heart right ventricle size	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle	http://purl.obolibrary.org/obo/PATO_0000586	increased size	0.9801	=
http://purl.obolibrary.org/obo/MP_0009303	decreased renal fat pad weight	http://purl.obolibrary.org/obo/UBERON_0014464	renal fat pad	http://purl.obolibrary.org/obo/PATO_0000583	decreased weight	0.9801	=
http://purl.obolibrary.org/obo/MP_0009285	increased gonadal fat pad weight	http://purl.obolibrary.org/obo/UBERON_0003428	gonadal fat pad	http://purl.obolibrary.org/obo/PATO_0000582	increased weight	0.9801	=
http://purl.obolibrary.org/obo/MP_0000643	absent adrenal medulla	http://purl.obolibrary.org/obo/UBERON_0001236	adrenal medulla	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0009268	absent cerebellum fissure	http://purl.obolibrary.org/obo/UBERON_0003980	cerebellum fissure	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0006116	calcified aortic valve	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve	http://purl.obolibrary.org/obo/PATO_0001447	calcified	0.9801	=
http://purl.obolibrary.org/obo/MP_0004346	absent acromion	http://purl.obolibrary.org/obo/UBERON_0002497	acromion	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0013173	trigeminal ganglion degeneration	http://purl.obolibrary.org/obo/UBERON_0001675	trigeminal ganglion	http://purl.obolibrary.org/obo/PATO_0002037	degeneration	0.9801	=
http://purl.obolibrary.org/obo/MP_0009717	absent subcommissural organ	http://purl.obolibrary.org/obo/UBERON_0002139	subcommissural organ	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0012509	neural tube degeneration	http://purl.obolibrary.org/obo/UBERON_0001049	neural tube	http://purl.obolibrary.org/obo/PATO_0002037	degeneration	0.9801	=
http://purl.obolibrary.org/obo/MP_0010705	absent metoptic pilar	http://purl.obolibrary.org/obo/UBERON_0006006	metoptic pilar	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0010683	dilated hair follicle infundibulum	http://purl.obolibrary.org/obo/UBERON_0005968	infundibulum of hair follicle	http://purl.obolibrary.org/obo/PATO_0001571	dilated	0.9801	=
http://purl.obolibrary.org/obo/MP_0008934	absent choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	choroid plexus	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0012158	absent visceral endoderm	http://purl.obolibrary.org/obo/UBERON_0004877	visceral endoderm	http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type	0.9801	=
http://purl.obolibrary.org/obo/MP_0000019	thick ears	http://purl.obolibrary.org/obo/UBERON_0001690	ear	http://purl.obolibrary.org/obo/PATO_0000915	thickness	0.9801	=
http://purl.obolibrary.org/obo/MP_0013713	decreased nipple size	http://purl.obolibrary.org/obo/UBERON_0002030	nipple	http://purl.obolibrary.org/obo/PATO_0000587	decreased size	0.9801	=
