#AgreementMakerLight Alignment File
#Source ontology:	http://purl.obolibrary.org/obo/wbphenotype.owl
#First Target ontology:	http://purl.obolibrary.org/obo/go.owl
#Second Target ontology:	http://purl.obolibrary.org/obo/pato.owl
Source URI	Source Label	Target 1 URI	Target 1 Label	Target 2 URI	Target 2Label	Similarity	Relationship
http://purl.obolibrary.org/obo/WBPhenotype_0001744	cell adhesion variant	http://purl.obolibrary.org/obo/GO_0086042	cardiac muscle cell cardiac muscle cell adhesion	http://purl.obolibrary.org/obo/PATO_0000222	muscle elevation	2.3583	=
http://purl.obolibrary.org/obo/WBPhenotype_0001744	cell adhesion variant	http://purl.obolibrary.org/obo/GO_0086042	cardiac muscle cell cardiac muscle cell adhesion	http://purl.obolibrary.org/obo/PATO_0000223	muscle strength	2.3583	=
http://purl.obolibrary.org/obo/WBPhenotype_0001744	cell adhesion variant	http://purl.obolibrary.org/obo/GO_0086042	cardiac muscle cell cardiac muscle cell adhesion	http://purl.obolibrary.org/obo/PATO_0000211	muscle function	2.3583	=
http://purl.obolibrary.org/obo/WBPhenotype_0001783	ligand gated channel activity variant	http://purl.obolibrary.org/obo/GO_0022834	ligand gated channel activity	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000047	gastrulation variant	http://purl.obolibrary.org/obo/GO_0007369	gastrulation	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0001780	associative learning variant	http://purl.obolibrary.org/obo/GO_0008306	associative learning	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0002282	autophagy increased	http://purl.obolibrary.org/obo/GO_0006914	autophagy	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0002076	cortical granule exocytosis variant	http://purl.obolibrary.org/obo/GO_0060471	cortical granule exocytosis	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0002061	chromosome decondensation variant	http://purl.obolibrary.org/obo/GO_0051312	chromosome decondensation	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0001397	necrotic cell death increased	http://purl.obolibrary.org/obo/GO_0070265	necrotic cell death	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000531	organism development variant	http://purl.obolibrary.org/obo/GO_0048513	organ development	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0001463	camp chemotaxis variant	http://purl.obolibrary.org/obo/GO_0043327	chemotaxis to camp	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0001591	microtubule polymerization variant	http://purl.obolibrary.org/obo/GO_0046785	microtubule polymerization	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000594	cell migration variant	http://purl.obolibrary.org/obo/GO_0016477	cell migration	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000529	cell development variant	http://purl.obolibrary.org/obo/GO_0048468	cell development	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000627	anesthetic response variant	http://purl.obolibrary.org/obo/GO_0072347	response to anesthetic	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0002170	calcium mediated signaling variant	http://purl.obolibrary.org/obo/GO_0019722	calcium mediated signaling	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0002020	transmission of nerve impulse variant	http://purl.obolibrary.org/obo/GO_0019226	transmission of nerve impulse	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000172	cell proliferation increased	http://purl.obolibrary.org/obo/GO_0008283	cell proliferation	http://purl.obolibrary.org/obo/PATO_0000912	increased rate	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0001739	aging variant	http://purl.obolibrary.org/obo/GO_0007568	aging	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
http://purl.obolibrary.org/obo/WBPhenotype_0000740	cell cycle variant	http://purl.obolibrary.org/obo/GO_0007049	cell cycle	http://purl.obolibrary.org/obo/PATO_0001227	variant	0.9801	=
